campaign_name,platform,spend,impressions,clicks,conversions,cpa,roas,ctr,date
Summer Launch TikTok,TikTok,1200,125000,3125,66,18.18,4.5,2.5,2024-06-15
Summer Launch Meta,Meta,1500,98000,1960,52,28.85,2.8,2.0,2024-06-15
Wellness Series TikTok A,TikTok,800,87000,2175,45,17.78,4.2,2.5,2024-06-20
Wellness Series Meta A,Meta,900,72000,1440,30,30.00,2.3,2.0,2024-06-20
Flash Sale TikTok,TikTok,600,52000,1560,35,17.14,4.8,3.0,2024-07-01
Flash Sale Meta,Meta,700,58000,1160,25,28.00,2.6,2.0,2024-07-01
Eco Focus TikTok,TikTok,1000,98000,2450,52,19.23,4.1,2.5,2024-07-10
Eco Focus Meta,Meta,1100,85000,1700,38,28.95,2.4,2.0,2024-07-10
Back to School TikTok,TikTok,1400,135000,3375,70,20.00,3.8,2.5,2024-08-01
Back to School Meta,Meta,1600,110000,2200,55,29.09,2.5,2.0,2024-08-01
Fall Collection TikTok A,TikTok,900,89000,2225,48,18.75,4.3,2.5,2024-09-01
Fall Collection Meta A,Meta,1000,80000,1600,35,28.57,2.7,2.0,2024-09-01
Fitness Challenge TikTok,TikTok,1100,105000,2625,58,18.97,4.4,2.5,2024-09-15
Fitness Challenge Meta,Meta,1200,95000,1900,40,30.00,2.2,2.0,2024-09-15
Holiday Prep TikTok,TikTok,1300,120000,3000,68,19.12,4.0,2.5,2024-10-01
Holiday Prep Meta,Meta,1400,105000,2100,48,29.17,2.5,2.0,2024-10-01
Limited Edition TikTok,TikTok,750,72000,1800,42,17.86,4.6,2.5,2024-10-15
Limited Edition Meta,Meta,850,68000,1360,28,30.36,2.1,2.0,2024-10-15
Q4 Launch TikTok A,TikTok,1250,115000,2875,62,20.16,3.9,2.5,2024-11-01
Q4 Launch Meta A,Meta,1350,98000,1960,45,30.00,2.3,2.0,2024-11-01
Black Friday TikTok,TikTok,2000,185000,4625,105,19.05,4.2,2.5,2024-11-25
Black Friday Meta,Meta,2200,160000,3200,72,30.56,2.4,2.0,2024-11-25
Cyber Monday TikTok,TikTok,1800,165000,4125,92,19.57,4.1,2.5,2024-11-27
Cyber Monday Meta,Meta,2000,145000,2900,65,30.77,2.3,2.0,2024-11-27
Holiday Gift Guide TikTok,TikTok,1600,145000,3625,78,20.51,3.8,2.5,2024-12-05
Holiday Gift Guide Meta,Meta,1750,128000,2560,58,30.17,2.5,2.0,2024-12-05
Last Minute Gifts TikTok,TikTok,1400,125000,3125,68,20.59,3.7,2.5,2024-12-20
Last Minute Gifts Meta,Meta,1550,115000,2300,50,31.00,2.2,2.0,2024-12-20
New Year Resolution TikTok,TikTok,1100,98000,2450,55,20.00,4.0,2.5,2025-01-05
New Year Resolution Meta,Meta,1250,88000,1760,42,29.76,2.6,2.0,2025-01-05
Winter Wellness TikTok,TikTok,950,85000,2125,48,19.79,4.3,2.5,2025-01-15
Winter Wellness Meta,Meta,1050,78000,1560,35,30.00,2.4,2.0,2025-01-15
Valentine Promo TikTok,TikTok,1200,108000,2700,60,20.00,4.1,2.5,2025-02-01
Valentine Promo Meta,Meta,1350,95000,1900,45,30.00,2.5,2.0,2025-02-01
Spring Preview TikTok,TikTok,1000,92000,2300,52,19.23,4.2,2.5,2025-02-15
Spring Preview Meta,Meta,1100,82000,1640,38,28.95,2.6,2.0,2025-02-15
Fitness Reset TikTok,TikTok,850,78000,1950,44,19.32,4.4,2.5,2025-03-01
Fitness Reset Meta,Meta,950,70000,1400,32,29.69,2.7,2.0,2025-03-01
March Madness TikTok,TikTok,1150,102000,2550,58,19.83,4.0,2.5,2025-03-15
March Madness Meta,Meta,1300,92000,1840,42,30.95,2.3,2.0,2025-03-15
Spring Sale TikTok,TikTok,1350,118000,2950,65,20.77,3.9,2.5,2025-04-01
Spring Sale Meta,Meta,1500,105000,2100,50,30.00,2.4,2.0,2025-04-01
Earth Day Special TikTok,TikTok,900,82000,2050,48,18.75,4.5,2.5,2025-04-20
Earth Day Special Meta,Meta,1000,72000,1440,33,30.30,2.5,2.0,2025-04-20
Mother's Day TikTok,TikTok,1100,95000,2375,55,20.00,4.1,2.5,2025-05-08
Mother's Day Meta,Meta,1250,85000,1700,42,29.76,2.6,2.0,2025-05-08
